Date,Open,High,Low,Close,Adj Close,Volume,US Overdose Deaths
2022-02-04,222.1199951171875,224.75999450683597,220.97000122070312,222.1100006103516,206.48257446289065,3162000,1
2022-02-07,222.08999633789065,224.75999450683597,220.6300048828125,223.52999877929688,207.8026885986328,3596400,7
2022-02-08,232.94000244140625,244.7100067138672,232.2100067138672,241.00999450683597,224.05279541015625,8394800,4
2022-02-09,241.0399932861328,241.0399932861328,235.32000732421875,237.19000244140625,220.5015563964844,5075200,4
2022-02-10,235.0,236.13999938964844,227.7100067138672,228.82000732421875,212.7204742431641,5035000,4
2022-02-11,228.5200042724609,231.47000122070312,228.1499938964844,228.1999969482422,212.14410400390625,3557700,2
2022-02-14,226.6100006103516,226.92999267578125,220.8600006103516,224.2700042724609,210.2782440185547,3931500,2
2022-02-15,225.0,226.16000366210935,221.22000122070312,223.94000244140625,209.9688262939453,2474500,9
2022-02-16,223.47000122070312,225.1000061035156,221.0399932861328,222.66000366210935,208.7686920166016,2369000,5
2022-02-17,221.47999572753903,223.2899932861328,219.42999267578125,221.67999267578125,207.84982299804688,2157000,6
2022-02-18,220.97000122070312,223.97999572753903,219.7899932861328,220.7700042724609,206.99659729003903,2795800,5
2022-02-22,220.75999450683597,222.8999938964844,219.3000030517578,221.41000366210935,207.59669494628903,2835900,2
2022-02-23,222.67999267578125,223.75,220.6199951171875,221.0,207.21224975585935,2994800,2
2022-02-24,218.92999267578125,219.8999938964844,214.38999938964844,219.2700042724609,205.59017944335935,3746700,9
2022-02-25,222.4900054931641,228.13999938964844,221.9600067138672,227.02999877929688,212.86605834960935,3557100,4
2022-02-28,224.02999877929688,226.75,222.52999877929688,226.47999572753903,212.35037231445312,4738100,3
2022-03-01,225.27999877929688,227.7899932861328,223.7400054931641,225.2100067138672,211.1595916748047,4573500,4
2022-03-02,225.0399932861328,230.3999938964844,224.6499938964844,228.58999633789065,214.32872009277344,3387200,5
2022-03-03,230.8800048828125,234.2700042724609,230.00999450683597,232.63999938964844,218.1260528564453,3638400,7
2022-03-04,230.6999969482422,235.7400054931641,230.13999938964844,232.91000366210935,218.37918090820312,3764400,2
2022-03-07,231.2899932861328,239.66000366210935,231.22999572753903,234.3600006103516,219.7387542724609,3713200,6
2022-03-08,233.8600006103516,236.8800048828125,230.55999755859372,231.1000061035156,216.68212890625,2974900,3
2022-03-09,234.22999572753903,234.52999877929688,230.42999267578125,231.4600067138672,217.0196685791016,2640900,3
2022-03-10,229.66000366210935,230.4199981689453,226.0800018310547,226.9499969482422,212.79104614257807,3957200,2
2022-03-11,228.1100006103516,230.02999877929688,226.7700042724609,228.8500061035156,214.5725250244141,2667000,3
2022-03-14,231.0800018310547,232.4499969482422,228.9199981689453,229.2100067138672,214.9100646972656,2902700,2
2022-03-15,231.3800048828125,233.05999755859372,228.1100006103516,231.55999755859372,217.1134185791016,3178200,3
2022-03-16,232.5200042724609,232.5200042724609,228.4499969482422,231.6699981689453,217.21658325195312,4220300,5
